"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 01 10:10:28 GMT 2024","Sat Jun 01 10:10:28 GMT 2024","86","API Suite (0)","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","createBuildConfigurationInvalidData","Create build configuration with different parameters: negative tests",""
"passed","Sat Jun 01 10:06:30 GMT 2024","Sat Jun 01 10:07:26 GMT 2024","56538","Surefire suite","Surefire test","com.example.teamcity.ui.SetupTest","com.example.teamcity.ui.SetupTest","startUpTest","startUpTest",""
"passed","Sat Jun 01 10:09:26 GMT 2024","Sat Jun 01 10:09:26 GMT 2024","9","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","createProjectInvalidData","Create project with invalid parameters: negative test",""
"passed","Sat Jun 01 10:10:35 GMT 2024","Sat Jun 01 10:10:35 GMT 2024","8","API Suite (0)","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","createProjectInvalidData","Create project with invalid parameters: negative test",""
"passed","Sat Jun 01 10:10:29 GMT 2024","Sat Jun 01 10:10:29 GMT 2024","78","API Suite (0)","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","createBuildConfigurationInvalidData","Create build configuration with different parameters: negative tests",""
"passed","Sat Jun 01 10:09:25 GMT 2024","Sat Jun 01 10:09:25 GMT 2024","26","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","createProjectInvalidData","Create project with invalid parameters: negative test",""
"passed","Sat Jun 01 10:10:25 GMT 2024","Sat Jun 01 10:10:25 GMT 2024","110","API Suite (0)","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","createBuildConfiguration","Create build configuration with different parameters: positive tests",""
"passed","Sat Jun 01 10:09:18 GMT 2024","Sat Jun 01 10:09:18 GMT 2024","139","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","createBuildConfiguration","Create build configuration with different parameters: positive tests",""
"passed","Sat Jun 01 10:10:55 GMT 2024","Sat Jun 01 10:11:02 GMT 2024","7970","UI Suite (0)","UI Test","com.example.teamcity.ui.CreateNewProjectTest","com.example.teamcity.ui.CreateNewProjectTest","createNewProjectWithBuildConfigurationManually","Create new project with build configuration manually",""
"passed","Sat Jun 01 10:10:24 GMT 2024","Sat Jun 01 10:10:24 GMT 2024","146","API Suite (0)","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","createBuildConfigWithSameName","Duplicated name of build configuration is not allowed test",""
"passed","Sat Jun 01 10:10:49 GMT 2024","Sat Jun 01 10:10:54 GMT 2024","5700","UI Suite (0)","UI Test","com.example.teamcity.ui.CreateNewProjectTest","com.example.teamcity.ui.CreateNewProjectTest","checkCreateNewProjectFromVCSInvalidData","Check create new project from VCS invalid data",""
"passed","Sat Jun 01 10:10:38 GMT 2024","Sat Jun 01 10:10:39 GMT 2024","43","API Suite (0)","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","systemAdminShouldHaveRightsToCreateProject","System admin should have rights to create project",""
"failed","Sat Jun 01 10:09:23 GMT 2024","Sat Jun 01 10:09:23 GMT 2024","30","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","createProject","Create project with different parameters: positive test",""
"passed","Sat Jun 01 10:10:30 GMT 2024","Sat Jun 01 10:10:30 GMT 2024","55","API Suite (0)","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","createBuildConfigurationInvalidData","Create build configuration with different parameters: negative tests",""
"passed","Sat Jun 01 10:10:27 GMT 2024","Sat Jun 01 10:10:27 GMT 2024","83","API Suite (0)","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","createBuildConfigurationInvalidData","Create build configuration with different parameters: negative tests",""
"passed","Sat Jun 01 10:10:23 GMT 2024","Sat Jun 01 10:10:23 GMT 2024","193","API Suite (0)","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","createBuildConfigWithSameId","Duplicated id of build configuration is not allowed test",""
"passed","Sat Jun 01 10:10:37 GMT 2024","Sat Jun 01 10:10:37 GMT 2024","23","API Suite (0)","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","createProjectWithSameId","Duplicated project id is not allowed test",""
"passed","Sat Jun 01 10:09:26 GMT 2024","Sat Jun 01 10:09:26 GMT 2024","6","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","createProjectInvalidData","Create project with invalid parameters: negative test",""
"passed","Sat Jun 01 10:09:24 GMT 2024","Sat Jun 01 10:09:24 GMT 2024","13","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","createProjectInvalidData","Create project with invalid parameters: negative test",""
"failed","Sat Jun 01 10:10:33 GMT 2024","Sat Jun 01 10:10:33 GMT 2024","21","API Suite (0)","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","createProject","Create project with different parameters: positive test",""
"passed","Sat Jun 01 10:10:27 GMT 2024","Sat Jun 01 10:10:27 GMT 2024","84","API Suite (0)","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","createBuildConfigurationInvalidData","Create build configuration with different parameters: negative tests",""
"passed","Sat Jun 01 10:10:40 GMT 2024","Sat Jun 01 10:10:48 GMT 2024","8520","UI Suite (0)","UI Test","com.example.teamcity.ui.CreateNewProjectTest","com.example.teamcity.ui.CreateNewProjectTest","authorizedUserShouldBeAbleCreateNewProject","Authorized user should be able create new project",""
"passed","Sat Jun 01 10:09:16 GMT 2024","Sat Jun 01 10:09:16 GMT 2024","194","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","createBuildConfiguration","Create build configuration with different parameters: positive tests",""
"passed","Sat Jun 01 10:09:18 GMT 2024","Sat Jun 01 10:09:19 GMT 2024","163","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","createBuildConfigurationInvalidData","Create build configuration with different parameters: negative tests",""
"failed","Sat Jun 01 10:09:22 GMT 2024","Sat Jun 01 10:09:22 GMT 2024","182","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","createProject","Create project with different parameters: positive test",""
"passed","Sat Jun 01 10:09:17 GMT 2024","Sat Jun 01 10:09:17 GMT 2024","209","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","createBuildConfiguration","Create build configuration with different parameters: positive tests",""
"passed","Sat Jun 01 10:10:36 GMT 2024","Sat Jun 01 10:10:36 GMT 2024","4","API Suite (0)","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","createProjectInvalidData","Create project with invalid parameters: negative test",""
"passed","Sat Jun 01 10:10:38 GMT 2024","Sat Jun 01 10:10:38 GMT 2024","84","API Suite (0)","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","projectAdminShouldNotHaveRightsToCreateBuildConfigToAnotherProject","Project admin should not have rights to create build config to another project",""
"passed","Sat Jun 01 10:09:21 GMT 2024","Sat Jun 01 10:09:22 GMT 2024","177","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","createBuildConfigurationInvalidData","Create build configuration with different parameters: negative tests",""
"failed","Sat Jun 01 10:09:22 GMT 2024","Sat Jun 01 10:09:23 GMT 2024","46","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","createProject","Create project with different parameters: positive test",""
"passed","Sat Jun 01 10:09:25 GMT 2024","Sat Jun 01 10:09:25 GMT 2024","17","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","createProjectInvalidData","Create project with invalid parameters: negative test",""
"passed","Sat Jun 01 10:09:25 GMT 2024","Sat Jun 01 10:09:25 GMT 2024","15","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","createProjectInvalidData","Create project with invalid parameters: negative test",""
"passed","Sat Jun 01 10:09:16 GMT 2024","Sat Jun 01 10:09:16 GMT 2024","187","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","createBuildConfiguration","Create build configuration with different parameters: positive tests",""
"passed","Sat Jun 01 10:10:39 GMT 2024","Sat Jun 01 10:10:39 GMT 2024","13","API Suite (0)","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","unauthorizedUserShouldNotHaveRightsToCreateProject","Unauthorized user should not have rights to create project",""
"passed","Sat Jun 01 10:10:26 GMT 2024","Sat Jun 01 10:10:26 GMT 2024","103","API Suite (0)","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","createBuildConfiguration","Create build configuration with different parameters: positive tests",""
"failed","Sat Jun 01 10:09:23 GMT 2024","Sat Jun 01 10:09:23 GMT 2024","56","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","createProject","Create project with different parameters: positive test",""
"failed","Sat Jun 01 10:10:32 GMT 2024","Sat Jun 01 10:10:32 GMT 2024","31","API Suite (0)","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","createProject","Create project with different parameters: positive test",""
"passed","Sat Jun 01 10:10:38 GMT 2024","Sat Jun 01 10:10:38 GMT 2024","62","API Suite (0)","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","projectAdminShouldHaveRightsToCreateBuildConfigToHisProject","Project admin should have rights to create build config to his project",""
"failed","Sat Jun 01 10:09:24 GMT 2024","Sat Jun 01 10:09:24 GMT 2024","44","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","createProject","Create project with different parameters: positive test",""
"failed","Sat Jun 01 10:10:36 GMT 2024","Sat Jun 01 10:10:36 GMT 2024","12","API Suite (0)","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","createProjectInvalidData","Create project with invalid parameters: negative test",""
"passed","Sat Jun 01 10:09:19 GMT 2024","Sat Jun 01 10:09:19 GMT 2024","103","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","createBuildConfigurationInvalidData","Create build configuration with different parameters: negative tests",""
"passed","Sat Jun 01 10:11:03 GMT 2024","Sat Jun 01 10:11:11 GMT 2024","7797","UI Suite (0)","UI Test","com.example.teamcity.ui.CreateNewProjectTest","com.example.teamcity.ui.CreateNewProjectTest","createNewProjectWithBuildConfigurationManuallyInvalidData","Create new project with build configuration manually invalid data",""
"passed","Sat Jun 01 10:09:25 GMT 2024","Sat Jun 01 10:09:25 GMT 2024","13","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","createProjectInvalidData","Create project with invalid parameters: negative test",""
"passed","Sat Jun 01 10:10:35 GMT 2024","Sat Jun 01 10:10:35 GMT 2024","11","API Suite (0)","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","createProjectInvalidData","Create project with invalid parameters: negative test",""
"passed","Sat Jun 01 10:08:35 GMT 2024","Sat Jun 01 10:08:56 GMT 2024","20348","Surefire suite","Surefire test","com.example.teamcity.ui.SetupTest","com.example.teamcity.ui.SetupTest","setUpAgentTest","setUpAgentTest",""
"failed","Sat Jun 01 10:10:31 GMT 2024","Sat Jun 01 10:10:31 GMT 2024","62","API Suite (0)","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","createBuildConfigurationInvalidData","Create build configuration with different parameters: negative tests",""
"passed","Sat Jun 01 10:10:24 GMT 2024","Sat Jun 01 10:10:24 GMT 2024","132","API Suite (0)","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","createBuildConfiguration","Create build configuration with different parameters: positive tests",""
"failed","Sat Jun 01 10:09:21 GMT 2024","Sat Jun 01 10:09:21 GMT 2024","121","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","createBuildConfigurationInvalidData","Create build configuration with different parameters: negative tests",""
"passed","Sat Jun 01 10:09:24 GMT 2024","Sat Jun 01 10:09:24 GMT 2024","48","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","createProject","Create project with different parameters: positive test",""
"failed","Sat Jun 01 10:10:33 GMT 2024","Sat Jun 01 10:10:33 GMT 2024","26","API Suite (0)","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","createProject","Create project with different parameters: positive test",""
"passed","Sat Jun 01 10:09:17 GMT 2024","Sat Jun 01 10:09:18 GMT 2024","206","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","createBuildConfiguration","Create build configuration with different parameters: positive tests",""
