"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun May 26 08:54:49 GMT 2024","Sun May 26 08:54:55 GMT 2024","6302","UI Suite (0)","UI Test","com.example.teamcity.ui.CreateNewProjectTest","com.example.teamcity.ui.CreateNewProjectTest","checkCreateNewProjectFromVCSInvalidData","checkCreateNewProjectFromVCSInvalidData",""
"passed","Sun May 26 08:53:35 GMT 2024","Sun May 26 08:53:35 GMT 2024","129","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","createBuildConfigurationInvalidData","createBuildConfigurationInvalidData","Negative scenarios of build configuration parameters which are not allowed"
"passed","Sun May 26 08:54:40 GMT 2024","Sun May 26 08:54:48 GMT 2024","8063","UI Suite (0)","UI Test","com.example.teamcity.ui.CreateNewProjectTest","com.example.teamcity.ui.CreateNewProjectTest","authorizedUserShouldBeAbleCreateNewProject","authorizedUserShouldBeAbleCreateNewProject",""
"passed","Sun May 26 08:53:31 GMT 2024","Sun May 26 08:53:31 GMT 2024","154","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","createBuildConfiguration","createBuildConfiguration","Positive scenarios of build configuration parameters to be created with (name, id, steps)"
"passed","Sun May 26 08:54:38 GMT 2024","Sun May 26 08:54:38 GMT 2024","64","API Suite (0)","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","createBuildConfigurationInvalidData","createBuildConfigurationInvalidData","Negative scenarios of build configuration parameters which are not allowed"
"passed","Sun May 26 08:54:33 GMT 2024","Sun May 26 08:54:33 GMT 2024","116","API Suite (0)","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","createBuildConfigWithSameId","createBuildConfigWithSameId","Duplicated id of build configuration is not allowed test"
"passed","Sun May 26 08:54:40 GMT 2024","Sun May 26 08:54:40 GMT 2024","79","API Suite (0)","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","createBuildConfigurationInvalidData","createBuildConfigurationInvalidData","Negative scenarios of build configuration parameters which are not allowed"
"passed","Sun May 26 08:54:37 GMT 2024","Sun May 26 08:54:37 GMT 2024","54","API Suite (0)","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","createBuildConfigurationInvalidData","createBuildConfigurationInvalidData","Negative scenarios of build configuration parameters which are not allowed"
"passed","Sun May 26 08:53:33 GMT 2024","Sun May 26 08:53:33 GMT 2024","137","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","createBuildConfigurationInvalidData","createBuildConfigurationInvalidData","Negative scenarios of build configuration parameters which are not allowed"
"passed","Sun May 26 08:53:33 GMT 2024","Sun May 26 08:53:34 GMT 2024","135","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","createBuildConfigurationInvalidData","createBuildConfigurationInvalidData","Negative scenarios of build configuration parameters which are not allowed"
"passed","Sun May 26 08:54:39 GMT 2024","Sun May 26 08:54:39 GMT 2024","53","API Suite (0)","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","createBuildConfigurationInvalidData","createBuildConfigurationInvalidData","Negative scenarios of build configuration parameters which are not allowed"
"failed","Sun May 26 08:53:36 GMT 2024","Sun May 26 08:53:36 GMT 2024","193","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","createBuildConfigurationInvalidData","createBuildConfigurationInvalidData","Negative scenarios of build configuration parameters which are not allowed"
"passed","Sun May 26 08:54:32 GMT 2024","Sun May 26 08:54:33 GMT 2024","62","API Suite (0)","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","buildConfigurationTest","buildConfigurationTest","Project can be created by user"
"passed","Sun May 26 08:54:33 GMT 2024","Sun May 26 08:54:33 GMT 2024","100","API Suite (0)","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","createBuildConfigWithSameName","createBuildConfigWithSameName","Duplicated name of build configuration is not allowed test"
"failed","Sun May 26 08:54:39 GMT 2024","Sun May 26 08:54:39 GMT 2024","62","API Suite (0)","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","createBuildConfigurationInvalidData","createBuildConfigurationInvalidData","Negative scenarios of build configuration parameters which are not allowed"
"passed","Sun May 26 08:50:47 GMT 2024","Sun May 26 08:51:44 GMT 2024","56435","Surefire suite","Surefire test","com.example.teamcity.ui.SetupTest","com.example.teamcity.ui.SetupTest","startUpTest","startUpTest",""
"passed","Sun May 26 08:54:37 GMT 2024","Sun May 26 08:54:37 GMT 2024","84","API Suite (0)","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","createBuildConfigurationInvalidData","createBuildConfigurationInvalidData","Negative scenarios of build configuration parameters which are not allowed"
